Label,Energy (eV),Density (Spin Up) (states/eV),Density (Spin Down) (states/eV)
N$_p$,-23.45288047648538,0.0,0.0
N$_p$,-23.447880476485377,0.0,0.0
N$_p$,-23.442880476485378,0.0,0.0
N$_p$,-23.43788047648538,0.0,0.0
N$_p$,-23.432880476485376,0.0,0.0
N$_p$,-23.427880476485377,0.0,0.0
N$_p$,-23.42288047648538,0.0,0.0
N$_p$,-23.41788047648538,0.0,0.0
N$_p$,-23.412880476485377,0.0,0.0
N$_p$,-23.407880476485378,0.0,0.0
N$_p$,-23.40288047648538,0.0,0.0
N$_p$,-23.397880476485376,0.0,0.0
N$_p$,-23.392880476485377,0.0,0.0
N$_p$,-23.38788047648538,0.0,0.0
N$_p$,-23.38288047648538,0.0,0.0
N$_p$,-23.377880476485377,0.0,0.0
N$_p$,-23.372880476485378,0.0,0.0
N$_p$,-23.36788047648538,0.0,0.0
N$_p$,-23.36288047648538,0.0,0.0
N$_p$,-23.357880476485377,0.0,0.0
N$_p$,-23.352880476485378,0.0,0.0
N$_p$,-23.34788047648538,0.0,0.0
N$_p$,-23.342880476485377,0.0,0.0
N$_p$,-23.337880476485378,0.0,0.0
N$_p$,-23.33288047648538,0.0,0.0
N$_p$,-23.32788047648538,0.0,0.0
N$_p$,-23.322880476485377,0.0,0.0
N$_p$,-23.317880476485378,0.0,0.0
N$_p$,-23.31288047648538,0.0,0.0
N$_p$,-23.307880476485376,0.0,0.0
N$_p$,-23.302880476485377,0.0,0.0
N$_p$,-23.29788047648538,0.0,0.0
N$_p$,-23.29288047648538,0.0,0.0
N$_p$,-23.287880476485377,0.0,0.0
N$_p$,-23.282880476485378,0.0,0.0
N$_p$,-23.27788047648538,0.0,0.0
N$_p$,-23.272880476485376,0.0,0.0
N$_p$,-23.267880476485377,0.0,0.0
N$_p$,-23.26288047648538,0.0,0.0
N$_p$,-23.25788047648538,0.0,0.0
N$_p$,-23.252880476485377,0.0,0.0
N$_p$,-23.247880476485378,0.0,0.0
N$_p$,-23.24288047648538,0.0,0.0
N$_p$,-23.23788047648538,0.0,0.0
N$_p$,-23.232880476485377,0.0,0.0
N$_p$,-23.227880476485378,0.0,0.0
N$_p$,-23.22288047648538,0.0,0.0
N$_p$,-23.217880476485377,0.0,0.0
N$_p$,-23.212880476485378,0.0,0.0
N$_p$,-23.20788047648538,0.0,0.0
N$_p$,-23.20288047648538,0.0,0.0
N$_p$,-23.197880476485377,0.0,0.0
N$_p$,-23.192880476485378,0.0,0.0
N$_p$,-23.18788047648538,0.0,0.0
N$_p$,-23.182880476485376,0.0,0.0
N$_p$,-23.177880476485377,0.0,0.0
N$_p$,-23.17288047648538,0.0,0.0
N$_p$,-23.16788047648538,0.0,0.0
N$_p$,-23.162880476485377,0.0,0.0
N$_p$,-23.157880476485378,0.0,0.0
N$_p$,-23.15288047648538,0.0,0.0
N$_p$,-23.147880476485376,0.0,0.0
N$_p$,-23.142880476485377,0.0,0.0
N$_p$,-23.13788047648538,0.0,0.0
N$_p$,-23.13288047648538,0.0,0.0
N$_p$,-23.127880476485377,0.0,0.0
N$_p$,-23.122880476485378,0.0,0.0
