#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.5346  -11.3757  -11.2968  -11.2912  -10.3873  -10.3789  -10.2006   -9.1829   -9.1777   -9.1769   -9.1639   -9.1589   -9.1582   -9.1066   -9.1049   -9.1042   -9.0860   -9.0843   -9.0836   -8.6884   -8.5930   -8.5925   -4.5095   -4.1204   -4.1148   -2.9671   -2.9483   -2.7840   -2.3423   -2.2076   -2.2015   -2.0941   -2.0716   -1.8879   -1.8703   -1.5475   -1.5348   -1.3851   -1.0931   -1.0859    2.2371    2.2794    2.5352    3.4101    3.9209    3.9249    4.3487    4.4453    4.4609    5.3729    5.3880    5.5173    5.6623    5.6694    5.8057    5.8414    5.9541
  0.5881  -11.3458  -11.2766  -11.2704  -10.3487  -10.3401  -10.1829   -9.1847   -9.1795   -9.1787   -9.1662   -9.1612   -9.1604   -9.1060   -9.1043   -9.1036   -9.0846   -9.0829   -9.0822   -8.6608   -8.5743   -8.5737   -4.3842   -4.0490   -4.0450   -3.0564   -3.0358   -2.9495   -2.4709   -2.2885   -2.2845   -2.1865   -2.1623   -2.0170   -1.9958   -1.6957   -1.6526   -1.4221   -1.2074   -1.2020    2.1143    2.1554    2.3316    3.5606    3.6891    3.6904    4.1303    4.4042    4.4214    5.4519    5.4574    5.6089    5.8360    5.8470    5.8940    5.9840    6.1560
  0.6415  -11.3178  -11.2587  -11.2520  -10.3120  -10.3034  -10.1687   -9.1863   -9.1811   -9.1803   -9.1685   -9.1635   -9.1627   -9.1050   -9.1033   -9.1026   -9.0837   -9.0820   -9.0813   -8.6335   -8.5576   -8.5568   -4.2611   -3.9837   -3.9798   -3.1336   -3.1123   -3.0810   -2.5821   -2.4002   -2.3872   -2.2662   -2.2520   -2.0891   -2.0624   -1.8414   -1.7615   -1.4634   -1.3159   -1.3107    2.0234    2.0612    2.1492    3.4605    3.4615    3.7288    3.9108    4.3733    4.3909    5.5101    5.5145    5.6479    5.9043    6.0304    6.0522    6.1567    6.2430
  0.6950  -11.2927  -11.2438  -11.2367  -10.2786  -10.2699  -10.1587   -9.1874   -9.1822   -9.1814   -9.1707   -9.1657   -9.1649   -9.1038   -9.1021   -9.1014   -9.0833   -9.0816   -9.0809   -8.6075   -8.5436   -8.5426   -4.1453   -3.9262   -3.9204   -3.1930   -3.1808   -3.1633   -2.6762   -2.5171   -2.4955   -2.3561   -2.3514   -2.1092   -2.0799   -1.9807   -1.8580   -1.5090   -1.4153   -1.4098    1.9670    1.9991    2.0004    3.2451    3.2473    3.6850    3.9092    4.3526    4.3684    5.5443    5.5571    5.6664    6.0098    6.2081    6.2559    6.3948    6.4784
  0.7485  -11.2710  -11.2320  -11.2247  -10.2492  -10.2405  -10.1534   -9.1881   -9.1828   -9.1821   -9.1729   -9.1678   -9.1671   -9.1023   -9.1007   -9.1000   -9.0834   -9.0818   -9.0811   -8.5838   -8.5329   -8.5316   -4.0421   -3.8770   -3.8691   -3.2416   -3.2223   -3.1982   -2.7555   -2.6384   -2.6118   -2.4283   -2.4273   -2.1119   -2.1090   -2.0802   -1.9384   -1.5572   -1.5025   -1.4967    1.8914    1.9444    1.9683    3.0488    3.0544    3.4748    4.0740    4.3428    4.3544    5.5685    5.5870    5.6643    6.0716    6.3932    6.4094    6.6175    6.6903
  0.8019  -11.2532  -11.2235  -11.2162  -10.2248  -10.2160  -10.1529   -9.1881   -9.1829   -9.1822   -9.1750   -9.1699   -9.1692   -9.1006   -9.0990   -9.0983   -9.0840   -9.0824   -9.0817   -8.5632   -8.5258   -8.5242   -3.9556   -3.8374   -3.8278   -3.2613   -3.2312   -3.2055   -2.8237   -2.7603   -2.7327   -2.4736   -2.4720   -2.2268   -2.1074   -2.0775   -2.0000   -1.6046   -1.5738   -1.5685    1.8272    1.9499    1.9626    2.8801    2.8921    3.2728    4.2192    4.3442    4.3493    5.5868    5.6085    5.6555    6.1948    6.5946    6.7615    6.8883    6.9231
  0.8554  -11.2399  -11.2179  -11.2114  -10.2056  -10.1967  -10.1569   -9.1877   -9.1824   -9.1817   -9.1769   -9.1719   -9.1711   -9.0989   -9.0972   -9.0965   -9.0851   -9.0834   -9.0827   -8.5462   -8.5222   -8.5204   -3.8872   -3.8101   -3.7997   -3.2483   -3.2138   -3.1854   -2.8853   -2.8762   -2.8492   -2.4918   -2.4908   -2.3266   -2.1053   -2.0777   -2.0420   -1.6459   -1.6256   -1.6219    1.8111    1.9654    1.9719    2.7533    2.7751    3.0825    4.3249    4.3521    4.3581    5.6029    5.6269    5.6529    6.3428    6.7440    6.7958    7.1237    7.1728
  0.9089  -11.2317  -11.2141  -11.2098  -10.1921  -10.1828  -10.1648   -9.1868   -9.1815   -9.1808   -9.1786   -9.1736   -9.1728   -9.0973   -9.0957   -9.0950   -9.0861   -9.0845   -9.0838   -8.5331   -8.5219   -8.5199   -3.8356   -3.7980   -3.7879   -3.2097   -3.1763   -3.1415   -2.9776   -2.9507   -2.9428   -2.4891   -2.4852   -2.4065   -2.1045   -2.0810   -2.0685   -1.6725   -1.6576   -1.6552    1.8454    1.9584    1.9792    2.6928    2.7258    2.9056    4.3591    4.3692    4.3905    5.6196    5.6451    5.6592    6.5125    6.7761    6.7893    7.2627    7.3064
  0.9623  -11.2291  -11.2113  -11.2111  -10.1859  -10.1741  -10.1738   -9.1860   -9.1807   -9.1800   -9.1796   -9.1746   -9.1739   -9.0967   -9.0951   -9.0944   -9.0867   -9.0850   -9.0843   -8.5258   -8.5227   -8.5221   -3.8062   -3.7971   -3.7929   -3.1649   -3.1498   -3.1210   -3.0130   -2.9990   -2.9935   -2.4711   -2.4663   -2.4612   -2.0984   -2.0888   -2.0797   -1.6740   -1.6726   -1.6689    1.9173    1.9314    1.9487    2.7225    2.7432    2.7613    4.3707    4.3818    4.3962    5.6325    5.6519    5.6658    6.6967    6.7070    6.7147    7.3819    7.4340
  0.9623  -11.2291  -11.2113  -11.2111  -10.1859  -10.1741  -10.1738   -9.1860   -9.1807   -9.1800   -9.1796   -9.1746   -9.1739   -9.0967   -9.0951   -9.0944   -9.0867   -9.0850   -9.0843   -8.5258   -8.5227   -8.5221   -3.8062   -3.7971   -3.7929   -3.1649   -3.1498   -3.1210   -3.0130   -2.9990   -2.9935   -2.4711   -2.4663   -2.4612   -2.0984   -2.0888   -2.0797   -1.6740   -1.6726   -1.6689    1.9173    1.9314    1.9487    2.7225    2.7432    2.7613    4.3707    4.3818    4.3962    5.6325    5.6519    5.6658    6.6998    6.7037    6.7100    7.3812    7.5961
