#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  71  96
# Band-Index    1
   1.65991    -37.593805    -37.593804
   1.71433    -37.593560    -37.593560
   1.76876    -37.593360    -37.593359
   1.82319    -37.593213    -37.593212
   1.87761    -37.593188    -37.593187
   1.93204    -37.593328    -37.593328
   1.93204    -37.593328    -37.593327
   1.98722    -37.593354    -37.593353
   2.04239    -37.593462    -37.593461
   2.09756    -37.593706    -37.593706
   2.15274    -37.593719    -37.593718
   2.20791    -37.593697    -37.593696
   2.26309    -37.593670    -37.593669
   2.31826    -37.593640    -37.593640
   2.37344    -37.593608    -37.593607
   2.42861    -37.593574    -37.593573
   2.48379    -37.593537    -37.593536
   2.53896    -37.593500    -37.593499
   2.53896    -37.592122    -37.592121
   2.59586    -37.592226    -37.592225
   2.65276    -37.592348    -37.592348
   2.70966    -37.592478    -37.592477
   2.76656    -37.592608    -37.592607
   2.82346    -37.592731    -37.592730
   2.88036    -37.592840    -37.592839
   2.93726    -37.592931    -37.592930
   2.99416    -37.593001    -37.593000
   3.05106    -37.593079    -37.593078
   3.10796    -37.593328    -37.593327
   3.10796    -37.593328    -37.593327
   3.16376    -37.593162    -37.593162
   3.21956    -37.593289    -37.593289
   3.27536    -37.593532    -37.593531
   3.33116    -37.593855    -37.593854
   3.38696    -37.594228    -37.594227
   3.44277    -37.594619    -37.594619
   3.49857    -37.595004    -37.595003
   3.55437    -37.595338    -37.595337
   3.61017    -37.595571    -37.595570
   3.66597    -37.595662    -37.595661
 
# Band-Index    4
   3.66597    -37.595657    -37.595656
   3.61017    -37.595061    -37.595060
   3.55437    -37.594255    -37.594255
   3.49857    -37.593575    -37.593574
   3.44277    -37.593061    -37.593060
   3.38696    -37.592729    -37.592728
   3.33116    -37.592578    -37.592577
   3.27536    -37.592598    -37.592597
   3.21956    -37.592771    -37.592771
   3.16376    -37.593034    -37.593033
   3.10796    -37.593058    -37.593057
   3.10796    -37.593058    -37.593057
   3.05106    -37.593043    -37.593042
   2.99416    -37.592751    -37.592751
   2.93726    -37.592477    -37.592476
   2.88036    -37.592266    -37.592265
   2.82346    -37.592116    -37.592115
   2.76656    -37.592023    -37.592022
   2.70966    -37.591983    -37.591982
   2.65276    -37.591993    -37.591992
   2.59586    -37.592041    -37.592040
   2.53896    -37.592118    -37.592117
   2.53896    -37.593498    -37.593497
   2.48379    -37.593461    -37.593460
   2.42861    -37.593423    -37.593422
   2.37344    -37.593386    -37.593385
   2.31826    -37.593351    -37.593350
   2.26309    -37.593318    -37.593318
   2.20791    -37.593288    -37.593287
   2.15274    -37.593257    -37.593256
   2.09756    -37.593223    -37.593222
   2.04239    -37.593169    -37.593169
   1.98722    -37.593094    -37.593093
   1.93204    -37.593058    -37.593057
   1.93204    -37.593058    -37.593057
   1.87761    -37.593061    -37.593060
   1.82319    -37.592889    -37.592889
   1.76876    -37.592704    -37.592703
   1.71433    -37.592593    -37.592592
   1.65991    -37.592573    -37.592572
   1.60548    -37.592651    -37.592650
   1.55105    -37.592836    -37.592836
   1.49663    -37.593131    -37.593130
   1.44220    -37.593532    -37.593531
   1.38777    -37.594033    -37.594032
   1.33334    -37.594619    -37.594618
   1.27892    -37.595249    -37.595249
   1.22449    -37.595656    -37.595655
   1.22449    -37.593066    -37.593065
   1.16198    -37.593065    -37.593065
   1.09947    -37.593066    -37.593065
   1.03696    -37.593063    -37.593062
   0.97444    -37.593063    -37.593062
   0.91193    -37.593058    -37.593058
   0.84942    -37.593057    -37.593056
   0.78691    -37.593058    -37.593057
   0.78691    -37.593058    -37.593057
   0.72645    -37.593137    -37.593136
   0.66599    -37.593229    -37.593228
   0.60553    -37.593279    -37.593278
   0.54507    -37.593325    -37.593324
   0.48462    -37.593382    -37.593381
   0.42416    -37.593440    -37.593439
   0.36370    -37.593498    -37.593497
   0.36370    -37.592111    -37.592111
   0.30308    -37.591997    -37.591996
   0.24247    -37.591983    -37.591982
   0.18185    -37.592112    -37.592111
   0.12123    -37.592401    -37.592400
   0.06062    -37.592856    -37.592855
   0.00000    -37.593058    -37.593057
 
# Band-Index    5
   0.00000    -18.547368    -18.547369
   0.06062    -18.546026    -18.546027
   0.12123    -18.542042    -18.542043
   0.18185    -18.535561    -18.535562
   0.24247    -18.526792    -18.526794
   0.30308    -18.516013    -18.516014
   0.36370    -18.503572    -18.503573
   0.36370    -18.545166    -18.545167
   0.42416    -18.543969    -18.543970
   0.48462    -18.539992    -18.539993
   0.54507    -18.533933    -18.533933
   0.60553    -18.529421    -18.529422
   0.66599    -18.537685    -18.537687
   0.72645    -18.544836    -18.544837
   0.78691    -18.547368    -18.547369
   0.78691    -18.547368    -18.547369
