#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 104  48
# Band-Index    1
   1.71628    -37.579034    -37.579038
   1.65977    -37.579616    -37.579620
   1.60325    -37.580398    -37.580401
   1.54673    -37.581341    -37.581344
   1.49021    -37.582405    -37.582409
   1.43369    -37.583545    -37.583548
   1.37717    -37.584710    -37.584713
   1.32066    -37.585849    -37.585853
   1.26414    -37.586912    -37.586916
   1.20762    -37.587853    -37.587856
   1.15110    -37.588632    -37.588635
   1.09458    -37.589213    -37.589217
   1.03806    -37.589572    -37.589575
   0.98155    -37.589693    -37.589696
   0.98155    -37.589693    -37.589696
   0.94812    -37.589693    -37.589696
   0.91469    -37.589694    -37.589697
   0.88127    -37.589693    -37.589697
   0.84784    -37.589694    -37.589697
   0.84784    -37.578550    -37.578553
   0.79132    -37.578671    -37.578674
   0.73480    -37.579031    -37.579034
   0.67828    -37.579613    -37.579616
   0.62175    -37.580395    -37.580398
   0.56523    -37.581338    -37.581342
   0.50871    -37.582403    -37.582406
   0.45218    -37.583543    -37.583546
   0.39566    -37.584708    -37.584712
   0.33914    -37.585848    -37.585851
   0.28261    -37.586911    -37.586915
   0.22609    -37.587852    -37.587855
   0.16957    -37.588632    -37.588635
   0.11305    -37.589213    -37.589216
   0.05652    -37.589572    -37.589575
   0.00000    -37.589693    -37.589696
 
# Band-Index    3
   0.00000    -37.584321    -37.584323
   0.05652    -37.584200    -37.584202
   0.11305    -37.583841    -37.583843
   0.16957    -37.583259    -37.583261
   0.22609    -37.582478    -37.582481
   0.28261    -37.581537    -37.581539
   0.33914    -37.580472    -37.580475
   0.39566    -37.579331    -37.579334
   0.45218    -37.578165    -37.578168
   0.50871    -37.577024    -37.577026
   0.56523    -37.575958    -37.575961
   0.62175    -37.575013    -37.575016
   0.67828    -37.574231    -37.574234
   0.73480    -37.573649    -37.573651
   0.79132    -37.573288    -37.573290
   0.84784    -37.573167    -37.573169
   0.84784    -37.584322    -37.584324
   0.88127    -37.584322    -37.584324
   0.91469    -37.584322    -37.584324
   0.94812    -37.584321    -37.584323
   0.98155    -37.584321    -37.584323
   0.98155    -37.584321    -37.584323
   1.03806    -37.584200    -37.584202
   1.09458    -37.583841    -37.583843
